q_index,q_type,q_toggle_index,q_click_time_no_reset,q_click_time,q_toggled_area
1,yesno,1,2.123,2.123,yes
1,yesno,2,3.82,1.696,no
1,yesno,3,7.387,3.567,submit
2,likert,1,3.062,3.062,comfortable
2,likert,2,4.803,1.742,submit
3,mcq,1,1.9,1.9,Coffee
3,mcq,2,3.571,1.671,Water
3,mcq,3,5.296,1.725,Tea
3,mcq,4,7.002,1.706,reset
3,mcq,5,8.87,1.868,Tea
3,mcq,6,10.67,1.801,Coffee
3,mcq,7,12.771,2.101,Water
3,mcq,8,15.059,2.288,submit
4,textgrid,1,3.011,3.011,group:0(A-G)
4,textgrid,2,4.578,1.568,char:A
4,textgrid,3,6.913,2.335,group:3(V-Z_)
4,textgrid,4,9.481,2.567,char:W
4,textgrid,5,12.116,2.635,group:0(A-G)
4,textgrid,6,14.746,2.63,char:E
4,textgrid,7,16.546,1.8,group:2(O-U)
4,textgrid,8,18.68,2.134,char:S
4,textgrid,9,21.647,2.967,group:2(O-U)
4,textgrid,10,25.517,3.87,char:O
4,textgrid,11,28.049,2.532,group:1(H-N)
4,textgrid,12,30.576,2.527,char:M
4,textgrid,13,32.781,2.205,group:0(A-G)
4,textgrid,14,35.481,2.7,char:E
4,textgrid,15,38.015,2.534,submit
5,yesno,1,2.832,2.832,no
5,yesno,2,4.399,1.567,submit
6,likert,1,1.367,1.367,very experienced
6,likert,2,8.5,7.132,submit
7,mcq,1,1.698,1.698,Das
7,mcq,2,2.796,1.098,'s'
7,mcq,3,3.664,0.868,muss
7,mcq,4,4.629,0.965,mit
7,mcq,5,5.53,0.901,submit
8,textgrid,1,2.744,2.744,group:0(A-G)
8,textgrid,2,4.901,2.156,char:F
8,textgrid,3,9.335,4.434,group:2(O-U)
8,textgrid,4,12.069,2.734,char:U
8,textgrid,5,13.501,1.432,group:1(H-N)
8,textgrid,6,14.808,1.307,char:K
8,textgrid,7,16.771,1.963,backspace
8,textgrid,8,19.408,2.637,group:1(H-N)
8,textgrid,9,21.541,2.133,char:N
8,textgrid,10,25.343,3.802,submit
